open_time,open,high,low,close,volume
2025-08-31 21:00:00,109118.0,109118.0,108957.12,109019.99,65.50597
2025-08-31 21:15:00,109020.0,109077.5,109012.94,109024.8,28.05846
2025-08-31 21:30:00,109024.8,109096.51,109007.36,109096.51,33.1327
2025-08-31 21:45:00,109096.51,109106.11,109015.0,109037.29,29.52371
2025-08-31 22:00:00,109037.3,109070.8,108876.0,109070.79,63.59999
2025-08-31 22:15:00,109070.8,109230.0,109070.79,109181.55,77.3006
2025-08-31 22:30:00,109181.56,109181.56,108848.11,108848.11,55.26893
2025-08-31 22:45:00,108848.11,108934.13,108758.37,108900.46,49.72626
2025-08-31 23:00:00,108900.45,108917.36,108622.65,108684.74,110.87622
2025-08-31 23:15:00,108684.74,108684.74,108355.0,108387.96,162.49957
2025-08-31 23:30:00,108387.96,108416.35,108076.93,108258.0,258.06379
2025-08-31 23:45:00,108257.99,108356.05,108167.34,108246.35,166.04275
2025-09-01 00:00:00,108246.36,108332.35,107970.65,107970.66,422.51571
2025-09-01 00:15:00,107970.66,108077.06,107631.68,107823.71,285.77887
2025-09-01 00:30:00,107823.71,108218.49,107676.76,108167.15,259.91916
2025-09-01 00:45:00,108167.15,108406.18,108084.0,108222.37,110.60836
2025-09-01 01:00:00,108222.37,108355.0,107968.09,108143.65,101.07012
2025-09-01 01:15:00,108143.65,108286.99,108014.0,108241.63,96.1696
2025-09-01 01:30:00,108241.63,108299.3,108052.0,108299.29,135.78212
2025-09-01 01:45:00,108299.29,108482.98,107980.0,108150.24,138.19378
2025-09-01 02:00:00,108150.24,108197.67,107921.18,107970.59,156.30884
2025-09-01 02:15:00,107970.58,107980.0,107565.99,107688.19,307.49225
2025-09-01 02:30:00,107688.19,107707.33,107525.51,107562.56,179.82548
2025-09-01 02:45:00,107562.56,107732.96,107425.42,107617.05,226.19025
2025-09-01 03:00:00,107617.05,107769.94,107473.22,107530.32,171.19847
2025-09-01 03:15:00,107530.33,107632.79,107447.44,107505.21,208.40658
2025-09-01 03:30:00,107505.21,107556.54,107393.0,107556.54,172.656
2025-09-01 03:45:00,107556.54,107722.49,107437.81,107660.01,234.22538
2025-09-01 04:00:00,107660.0,107759.99,107516.28,107729.97,157.13789
2025-09-01 04:15:00,107729.98,107743.47,107300.4,107467.42,243.59522
2025-09-01 04:30:00,107467.41,107467.41,107280.0,107309.91,134.35069
2025-09-01 04:45:00,107309.9,107459.03,107279.51,107409.1,110.74458
2025-09-01 05:00:00,107409.09,107721.76,107255.44,107356.0,203.16554
2025-09-01 05:15:00,107356.0,107732.04,107255.0,107715.74,188.7849
2025-09-01 05:30:00,107715.74,107987.4,107653.38,107945.64,102.13993
2025-09-01 05:45:00,107945.64,107960.0,107828.39,107866.12,53.70248
2025-09-01 06:00:00,107866.13,107944.0,107594.42,107936.0,122.78803
