open_time,open,high,low,close,volume
2022-12-31 21:00:00,16568.19,16571.64,16566.34,16567.65,182.81328
2022-12-31 21:05:00,16567.65,16569.35,16564.43,16566.01,284.93898
2022-12-31 21:10:00,16565.65,16568.96,16564.52,16566.31,329.63196
2022-12-31 21:15:00,16566.39,16570.04,16564.11,16566.14,302.32349
2022-12-31 21:20:00,16566.14,16566.87,16558.77,16559.88,327.54457
2022-12-31 21:25:00,16559.88,16565.41,16557.46,16563.84,314.75679
2022-12-31 21:30:00,16563.57,16564.19,16557.31,16557.92,255.84227
2022-12-31 21:35:00,16558.4,16568.34,16554.15,16560.07,465.78363
2022-12-31 21:40:00,16560.07,16561.51,16558.46,16560.53,105.29194
2022-12-31 21:45:00,16559.8,16561.19,16553.98,16556.15,308.19338
2022-12-31 21:50:00,16556.62,16557.39,16544.12,16549.59,499.67581
2022-12-31 21:55:00,16549.19,16552.55,16546.68,16548.28,241.97779
2022-12-31 22:00:00,16548.28,16548.46,16542.16,16543.94,295.68359
2022-12-31 22:05:00,16543.94,16556.36,16542.02,16556.18,278.39298
2022-12-31 22:10:00,16556.18,16567.49,16555.75,16565.38,475.75881
2022-12-31 22:15:00,16564.95,16565.62,16506.36,16531.62,1329.8118
2022-12-31 22:20:00,16531.61,16539.15,16527.81,16531.14,341.02412
2022-12-31 22:25:00,16531.72,16552.64,16531.11,16544.98,386.76261
2022-12-31 22:30:00,16544.78,16553.3,16540.25,16544.83,415.51923
2022-12-31 22:35:00,16544.41,16549.38,16524.64,16532.29,500.74945
2022-12-31 22:40:00,16532.6,16539.0,16517.76,16538.37,468.08962
2022-12-31 22:45:00,16538.37,16538.84,16516.0,16518.53,329.34955
2022-12-31 22:50:00,16518.04,16533.42,16470.0,16518.22,1433.27713
2022-12-31 22:55:00,16517.57,16521.36,16509.76,16520.81,440.71736
2022-12-31 23:00:00,16520.28,16524.91,16500.24,16506.14,767.72112
2022-12-31 23:05:00,16506.14,16514.99,16490.78,16495.24,558.92871
2022-12-31 23:10:00,16496.01,16503.97,16487.74,16502.67,555.3314
2022-12-31 23:15:00,16502.67,16526.51,16500.73,16523.86,618.0961
2022-12-31 23:20:00,16523.86,16529.54,16520.91,16525.92,302.37991
2022-12-31 23:25:00,16526.54,16527.01,16517.51,16524.64,262.99128
2022-12-31 23:30:00,16524.65,16540.59,16520.44,16538.17,429.55241
2022-12-31 23:35:00,16538.17,16551.24,16536.84,16545.68,501.06148
2022-12-31 23:40:00,16545.68,16550.26,16543.45,16546.13,277.70571
2022-12-31 23:45:00,16546.14,16550.55,16536.62,16539.05,292.41232
2022-12-31 23:50:00,16538.39,16541.26,16534.92,16540.42,180.18579
2022-12-31 23:55:00,16540.42,16544.47,16535.05,16542.4,227.06684
2023-01-01 00:00:00,16541.77,16544.76,16527.51,16535.38,486.60903
2023-01-01 00:05:00,16534.91,16540.43,16522.55,16526.67,391.19043
2023-01-01 00:10:00,16526.67,16530.87,16520.0,16520.69,294.73889
2023-01-01 00:15:00,16521.26,16537.73,16517.72,16534.94,481.18777
2023-01-01 00:20:00,16534.94,16540.66,16532.33,16535.54,309.53189
2023-01-01 00:25:00,16535.54,16545.7,16534.62,16544.19,311.90922
2023-01-01 00:30:00,16544.19,16544.61,16522.03,16527.83,394.57703
2023-01-01 00:35:00,16527.27,16530.09,16508.39,16524.04,612.13471
2023-01-01 00:40:00,16524.83,16525.25,16512.7,16515.43,358.94459
2023-01-01 00:45:00,16515.91,16535.66,16515.43,16529.16,357.27214
2023-01-01 00:50:00,16529.69,16533.79,16526.36,16531.84,176.3522
2023-01-01 00:55:00,16531.84,16536.84,16528.94,16529.67,190.3878
2023-01-01 01:00:00,16529.59,16537.66,16525.78,16531.02,421.67234
2023-01-01 01:05:00,16530.39,16540.47,16530.31,16539.2,283.81866
2023-01-01 01:10:00,16539.2,16541.8,16535.4,16538.21,271.7558
2023-01-01 01:15:00,16537.68,16540.82,16534.0,16538.59,179.55931
2023-01-01 01:20:00,16539.04,16539.95,16530.76,16536.22,272.68762
2023-01-01 01:25:00,16536.22,16536.64,16531.79,16534.6,209.43828
2023-01-01 01:30:00,16534.02,16535.72,16530.62,16532.0,176.68573
2023-01-01 01:35:00,16531.74,16539.92,16530.75,16535.19,274.65824
2023-01-01 01:40:00,16535.19,16543.38,16534.19,16539.94,341.34788
2023-01-01 01:45:00,16539.94,16547.23,16538.03,16546.33,356.20818
2023-01-01 01:50:00,16546.76,16547.9,16539.74,16545.91,323.84182
2023-01-01 01:55:00,16545.91,16556.8,16544.92,16551.47,478.39283
2023-01-01 02:00:00,16551.47,16551.53,16540.03,16541.43,364.03712
2023-01-01 02:05:00,16541.86,16543.77,16540.02,16542.94,144.6581
2023-01-01 02:10:00,16542.67,16551.59,16539.57,16549.03,394.40131
2023-01-01 02:15:00,16549.02,16554.56,16547.8,16552.72,266.34461
2023-01-01 02:20:00,16552.72,16553.75,16546.48,16548.18,324.69582
2023-01-01 02:25:00,16547.96,16555.0,16546.82,16552.89,213.37761
2023-01-01 02:30:00,16552.89,16559.61,16551.35,16558.65,308.75424
2023-01-01 02:35:00,16558.49,16559.77,16548.2,16548.99,258.92701
2023-01-01 02:40:00,16549.5,16550.37,16538.38,16538.77,311.94753
2023-01-01 02:45:00,16538.77,16547.01,16538.14,16546.22,244.76672
2023-01-01 02:50:00,16546.22,16547.24,16544.54,16546.33,309.26629
2023-01-01 02:55:00,16545.77,16549.12,16545.01,16548.19,177.66402
2023-01-01 03:00:00,16548.19,16548.19,16523.34,16529.36,910.83767
2023-01-01 03:05:00,16529.36,16532.86,16526.0,16530.4,327.23296
2023-01-01 03:10:00,16529.97,16531.43,16526.72,16527.87,321.3515
2023-01-01 03:15:00,16527.44,16530.21,16518.21,16522.52,600.86304
2023-01-01 03:20:00,16522.53,16533.09,16521.81,16528.72,416.27217
2023-01-01 03:25:00,16528.28,16531.3,16527.31,16529.89,236.24307
2023-01-01 03:30:00,16529.89,16534.66,16526.74,16533.77,276.8324
2023-01-01 03:35:00,16533.76,16537.17,16532.04,16536.83,242.59628
2023-01-01 03:40:00,16536.83,16537.42,16531.55,16533.68,206.78322
